timeframe,days,volume_ratio_th,volume_reversal_th,signals,buy_signals,sell_signals,num_trades,total_return_pct,final_value,sharpe_ratio,max_drawdown_pct,win_rate,profit_factor,volatility
4h,90,,,4,1,3,4,45.42321141394176,7271.160570697088,1.7932677488356408,-34.26940130922227,0.0,0.0,1.2737706863152531
4h,90,0.8,,1,0,1,1,37.70046324322571,6885.023162161286,2.268215216771297,-9.968509344964351,0.0,0.0,0.655412361613707
4h,90,0.8,1.0,1,0,1,1,37.70046324322571,6885.023162161286,2.268215216771297,-9.968509344964351,0.0,0.0,0.655412361613707
4h,90,0.8,1.2,1,0,1,1,37.70046324322571,6885.023162161286,2.268215216771297,-9.968509344964351,0.0,0.0,0.655412361613707
4h,90,0.8,1.5,1,0,1,1,37.70046324322571,6885.023162161286,2.268215216771297,-9.968509344964351,0.0,0.0,0.655412361613707
4h,90,0.8,2.0,1,0,1,1,37.70046324322571,6885.023162161286,2.268215216771297,-9.968509344964351,0.0,0.0,0.655412361613707
4h,90,0.9,,1,0,1,1,37.70046324322571,6885.023162161286,2.268215216771297,-9.968509344964351,0.0,0.0,0.655412361613707
4h,90,0.9,1.0,1,0,1,1,37.70046324322571,6885.023162161286,2.268215216771297,-9.968509344964351,0.0,0.0,0.655412361613707
4h,90,0.9,1.2,1,0,1,1,37.70046324322571,6885.023162161286,2.268215216771297,-9.968509344964351,0.0,0.0,0.655412361613707
4h,90,0.9,1.5,1,0,1,1,37.70046324322571,6885.023162161286,2.268215216771297,-9.968509344964351,0.0,0.0,0.655412361613707
4h,90,0.9,2.0,1,0,1,1,37.70046324322571,6885.023162161286,2.268215216771297,-9.968509344964351,0.0,0.0,0.655412361613707
4h,90,1.0,,1,0,1,1,37.70046324322571,6885.023162161286,2.268215216771297,-9.968509344964351,0.0,0.0,0.655412361613707
4h,90,1.0,1.0,1,0,1,1,37.70046324322571,6885.023162161286,2.268215216771297,-9.968509344964351,0.0,0.0,0.655412361613707
4h,90,1.0,1.2,1,0,1,1,37.70046324322571,6885.023162161286,2.268215216771297,-9.968509344964351,0.0,0.0,0.655412361613707
4h,90,1.0,1.5,1,0,1,1,37.70046324322571,6885.023162161286,2.268215216771297,-9.968509344964351,0.0,0.0,0.655412361613707
4h,90,1.0,2.0,1,0,1,1,37.70046324322571,6885.023162161286,2.268215216771297,-9.968509344964351,0.0,0.0,0.655412361613707
4h,90,1.1,,1,0,1,1,37.70046324322571,6885.023162161286,2.268215216771297,-9.968509344964351,0.0,0.0,0.655412361613707
4h,90,1.1,1.0,1,0,1,1,37.70046324322571,6885.023162161286,2.268215216771297,-9.968509344964351,0.0,0.0,0.655412361613707
4h,90,1.1,1.2,1,0,1,1,37.70046324322571,6885.023162161286,2.268215216771297,-9.968509344964351,0.0,0.0,0.655412361613707
4h,90,1.1,1.5,1,0,1,1,37.70046324322571,6885.023162161286,2.268215216771297,-9.968509344964351,0.0,0.0,0.655412361613707
4h,90,1.1,2.0,1,0,1,1,37.70046324322571,6885.023162161286,2.268215216771297,-9.968509344964351,0.0,0.0,0.655412361613707
4h,90,1.2,,1,0,1,1,37.70046324322571,6885.023162161286,2.268215216771297,-9.968509344964351,0.0,0.0,0.655412361613707
4h,90,1.2,1.0,1,0,1,1,37.70046324322571,6885.023162161286,2.268215216771297,-9.968509344964351,0.0,0.0,0.655412361613707
4h,90,1.2,1.2,1,0,1,1,37.70046324322571,6885.023162161286,2.268215216771297,-9.968509344964351,0.0,0.0,0.655412361613707
4h,90,1.2,1.5,1,0,1,1,37.70046324322571,6885.023162161286,2.268215216771297,-9.968509344964351,0.0,0.0,0.655412361613707
4h,90,1.2,2.0,1,0,1,1,37.70046324322571,6885.023162161286,2.268215216771297,-9.968509344964351,0.0,0.0,0.655412361613707
4h,120,,,4,1,3,4,45.42321141394176,7271.160570697088,1.5530899723331704,-34.26940130922227,0.0,0.0,1.1030648249002597
4h,120,0.8,,1,0,1,1,37.70046324322571,6885.023162161286,1.9642097150686373,-9.968509344964351,0.0,0.0,0.5676390918701905
4h,120,0.8,1.0,1,0,1,1,37.70046324322571,6885.023162161286,1.9642097150686373,-9.968509344964351,0.0,0.0,0.5676390918701905
4h,120,0.8,1.2,1,0,1,1,37.70046324322571,6885.023162161286,1.9642097150686373,-9.968509344964351,0.0,0.0,0.5676390918701905
4h,120,0.8,1.5,1,0,1,1,37.70046324322571,6885.023162161286,1.9642097150686373,-9.968509344964351,0.0,0.0,0.5676390918701905
4h,120,0.8,2.0,1,0,1,1,37.70046324322571,6885.023162161286,1.9642097150686373,-9.968509344964351,0.0,0.0,0.5676390918701905
4h,120,0.9,,1,0,1,1,37.70046324322571,6885.023162161286,1.9642097150686373,-9.968509344964351,0.0,0.0,0.5676390918701905
4h,120,0.9,1.0,1,0,1,1,37.70046324322571,6885.023162161286,1.9642097150686373,-9.968509344964351,0.0,0.0,0.5676390918701905
4h,120,0.9,1.2,1,0,1,1,37.70046324322571,6885.023162161286,1.9642097150686373,-9.968509344964351,0.0,0.0,0.5676390918701905
4h,120,0.9,1.5,1,0,1,1,37.70046324322571,6885.023162161286,1.9642097150686373,-9.968509344964351,0.0,0.0,0.5676390918701905
4h,120,0.9,2.0,1,0,1,1,37.70046324322571,6885.023162161286,1.9642097150686373,-9.968509344964351,0.0,0.0,0.5676390918701905
4h,120,1.0,,1,0,1,1,37.70046324322571,6885.023162161286,1.9642097150686373,-9.968509344964351,0.0,0.0,0.5676390918701905
4h,120,1.0,1.0,1,0,1,1,37.70046324322571,6885.023162161286,1.9642097150686373,-9.968509344964351,0.0,0.0,0.5676390918701905
